3 18 4 2 9 16 13 20 1 19 8 15 10 11 14 5 12 7 6 17
3 20 18 7 12 13 9 1 6 15 19 8 14 10 5 11 17 4 16 2
2 20 4 18 16 13 9 3 19 12 15 8 1 11 17 6 5 7 10 14
18 4 8 3 19 10 9 11 1 14 6 7 12 20 5 2 16 13 15 17
18 20 16 3 2 12 19 9 8 10 11 14 6 17 1 15 4 5 7 13
2 3 18 4 20 15 7 13 16 19 6 8 12 1 5 17 11 14 10 9
3 20 16 2 18 4 13 19 15 10 7 5 12 8 6 1 17 9 14 11
18 16 4 2 3 12 20 19 13 10 5 1 6 14 17 9 11 8 15 7
16 4 3 5 12 15 8 9 10 6 7 19 11 17 1 18 14 2 20 13
3 18 4 20 2 13 15 9 12 8 1 11 7 17 16 5 19 6 10 14
18 20 4 16 13 5 8 15 6 14 12 19 1 7 10 9 11 3 17 2
18 3 4 2 20 7 12 9 19 5 14 13 15 8 6 17 11 1 16 10
3 18 16 20 8 15 5 12 7 6 19 17 11 14 1 2 4 10 9 13
18 4 20 3 16 15 8 19 11 17 10 1 13 7 6 12 2 9 14 5
18 16 3 20 4 2 9 19 10 13 6 1 7 11 5 8 14 12 17 15
18 20 3 4 16 2 10 12 15 8 5 13 6 9 11 1 19 17 7 14
18 20 16 2 4 3 8 5 15 19 7 6 14 9 1 17 11 10 13 12
4 16 18 3 20 13 19 8 14 6 1 7 17 11 10 2 5 9 15 12
16 3 4 18 20 13 10 1 6 7 15 11 17 14 12 5 2 8 19 9
18 16 4 2 20 3 10 5 12 8 14 19 7 1 15 9 17 11 13 6
18 3 16 2 20 19 10 8 5 12 9 14 11 1 17 7 15 6 4 13
