7 4 10 13 14 15 11 5 2 6 8 3 9 1 12
9 10 6 15 14 13 11 4 5 8 3 7 1 12 2
11 6 5 15 14 7 10 1 8 4 2 3 13 12 9
9 7 14 4 5 6 13 10 8 11 3 15 12 2 1
11 13 8 15 12 5 2 1 3 10 14 4 6 9 7
3 10 2 15 1 7 4 14 8 6 13 11 9 5 12
1 4 7 15 5 2 10 8 12 3 6 13 11 9 14
1 6 13 15 8 4 3 10 14 5 7 11 9 12 2
4 15 5 13 10 3 11 12 2 8 14 7 9 1 6
1 7 5 10 9 13 2 15 14 4 11 3 8 12 6
12 4 6 15 8 10 13 2 1 14 5 7 9 11 3
3 13 14 15 1 11 10 9 2 6 4 7 5 8 12
5 15 11 13 12 1 3 7 2 8 14 10 4 6 9
8 3 14 15 12 11 7 1 6 5 4 13 10 2 9
7 3 14 13 5 15 8 11 9 4 12 2 1 10 6
5 2 3 4 9 6 15 14 12 13 8 10 11 7 1
6 2 10 7 14 5 8 11 12 13 15 3 4 9 1
9 10 11 15 14 6 13 1 12 4 2 3 8 5 7
9 10 11 15 12 2 7 8 13 4 1 3 5 6 14
12 6 1 15 5 10 13 3 2 4 11 7 14 9 8
