16 15 17 4 5 8 11 6 2 14 20 1 12 10 19 18 9 3 7 13
16 8 3 14 6 9 4 13 5 10 17 20 11 2 1 18 15 12 19 7
19 20 7 5 16 17 8 3 1 2 6 9 13 14 12 10 11 15 18 4
4 8 18 2 19 7 1 16 17 5 13 6 12 10 9 3 14 20 15 11
20 1 10 14 15 12 17 13 3 2 4 16 7 5 8 18 19 9 11 6
16 6 18 14 5 1 4 8 3 2 10 15 11 17 13 20 9 12 7 19
13 12 3 2 16 15 8 19 17 10 5 1 20 14 4 7 11 9 6 18
1 16 17 19 6 14 13 8 9 4 3 18 15 2 10 5 11 7 20 12
17 12 2 4 3 7 11 19 16 10 5 8 6 14 9 15 13 1 18 20
17 9 16 3 20 15 6 18 19 14 5 7 8 2 1 10 12 4 13 11
20 3 7 16 5 18 17 15 4 10 2 9 19 14 6 13 12 11 1 8
13 12 2 16 10 11 18 6 5 7 15 8 19 4 9 17 1 20 14 3
1 9 7 4 19 18 11 20 16 14 5 15 3 10 8 17 6 12 13 2
16 11 10 3 7 5 13 4 14 17 20 9 6 2 1 15 12 18 19 8
4 11 3 17 13 6 10 16 7 14 19 1 5 2 9 15 12 20 8 18
9 12 16 4 7 6 18 13 5 10 3 15 17 2 8 20 1 11 14 19
2 15 10 4 6 19 7 13 20 17 3 1 11 14 12 16 8 18 5 9
13 18 7 17 4 20 12 19 14 6 3 11 8 2 9 1 5 16 10 15
13 8 20 7 5 18 10 15 2 16 3 1 9 14 6 4 12 19 17 11
6 11 7 17 3 5 14 15 20 2 10 9 19 16 8 1 12 18 13 4
4 19 3 20 14 6 18 5 7 10 16 11 17 2 9 13 8 1 15 12
12 13 17 20 5 15 8 6 2 10 19 11 7 14 18 1 9 3 4 16
16 8 2 19 20 9 7 18 3 14 5 17 6 10 11 15 13 12 1 4
19 7 5 10 6 8 17 18 3 16 20 13 12 14 4 2 15 9 1 11
6 9 1 14 7 2 17 10 20 16 18 15 13 4 11 3 8 19 5 12
1 15 17 4 3 11 9 7 16 10 2 12 5 14 6 20 8 13 19 18
5 18 1 4 20 11 7 19 6 16 2 13 17 14 12 9 8 15 10 3
15 20 17 3 6 9 14 7 16 5 10 8 13 2 1 19 11 4 18 12
15 11 20 3 4 19 9 14 7 5 2 6 8 10 12 16 18 17 1 13
18 6 17 5 3 9 1 8 7 2 14 12 13 10 19 16 4 15 11 20
5 11 14 19 16 8 1 15 7 10 13 20 18 3 12 6 9 2 17 4
3 11 17 18 15 8 4 12 10 14 16 5 9 2 19 7 20 13 1 6
16 8 20 15 14 7 19 5 13 4 3 12 9 10 11 18 2 17 1 6
1 15 10 14 17 11 5 16 7 3 4 9 13 2 12 6 8 19 20 18
18 6 14 13 16 4 1 20 19 7 3 9 17 10 12 2 8 11 15 5
18 11 3 2 19 12 7 17 20 16 10 8 5 14 1 15 13 9 6 4
3 15 5 6 2 1 17 20 18 14 10 13 19 4 12 16 11 9 8 7
15 11 10 3 7 13 4 1 5 20 14 12 16 2 17 19 8 9 18 6
19 17 16 3 6 2 20 9 18 13 5 15 1 14 8 4 7 11 10 12
7 9 3 10 16 18 6 17 5 14 13 12 19 2 4 15 20 1 11 8
6 12 14 5 2 11 13 19 7 16 4 8 9 10 17 1 3 15 20 18
3 6 17 18 10 8 11 7 16 14 5 9 4 2 1 13 12 19 20 15
3 13 14 15 7 20 6 8 17 5 2 1 16 10 19 18 4 9 11 12
18 11 7 6 17 16 3 10 13 14 5 19 8 2 15 1 20 4 9 12
16 4 17 20 19 9 15 6 14 3 2 13 1 10 11 7 8 5 12 18
3 12 4 17 9 1 6 15 5 14 20 13 18 10 11 16 8 2 7 19
