3 6 10 9 2 1 4 8 7 5
3 4 2 7 8 1 5 10 9 6
10 6 2 3 8 1 5 9 7 4
3 6 5 4 10 1 9 7 8 2
5 6 3 9 7 1 8 4 10 2
4 10 5 7 6 9 1 8 3 2
8 2 3 7 4 1 9 5 10 6
5 2 7 6 10 1 4 9 8 3
5 6 3 2 10 9 1 8 4 7
4 6 3 10 7 1 9 8 5 2
5 4 2 7 6 9 1 10 8 3
5 6 10 7 3 1 9 4 8 2
5 6 7 2 10 9 1 8 4 3
5 7 4 10 2 1 9 8 3 6
10 6 5 8 3 9 1 4 7 2
3 6 5 7 10 1 8 9 4 2
7 6 5 10 4 9 1 8 3 2
7 8 2 6 10 9 1 5 4 3
8 6 4 7 5 9 1 10 3 2
7 2 9 4 3 1 8 10 5 6
8 3 10 7 2 9 1 5 4 6
4 2 7 10 3 9 1 5 8 6
8 6 4 5 2 9 1 7 10 3
7 6 3 4 10 5 1 8 9 2
7 2 4 8 10 1 9 5 3 6
1 6 3 2 4 8 9 5 7 10
8 4 2 7 10 5 1 9 3 6
9 6 10 4 1 8 5 7 2 3
4 2 10 7 6 1 9 8 3 5
2 5 3 10 9 1 4 7 8 6
7 2 3 10 6 1 4 8 5 9
2 3 6 10 8 1 5 9 4 7
9 6 5 7 10 1 8 4 3 2
4 6 3 2 7 9 8 1 5 10
3 8 10 2 7 9 1 5 4 6
2 9 7 4 10 1 3 5 8 6
4 6 5 8 3 1 9 10 7 2
2 7 5 6 10 1 9 4 3 8
5 6 3 7 10 1 9 8 4 2
5 6 10 3 2 1 9 8 7 4
4 6 10 2 5 1 9 3 8 7
9 10 3 6 8 5 7 1 4 2
2 10 4 5 6 9 8 7 1 3
7 5 2 6 4 1 9 8 10 3
5 6 2 10 7 1 9 8 4 3
4 5 3 9 6 8 1 7 10 2
10 4 8 9 2 1 3 7 5 6
7 6 3 10 9 4 5 8 1 2
4 2 8 10 6 1 9 7 5 3
4 6 5 10 2 1 8 9 3 7
