7 4 10 13 14 15 11 5 2 6 8 3 9 1 12
9 10 6 15 14 13 11 4 5 8 3 7 1 12 2
11 6 5 15 14 7 10 1 8 4 2 3 13 12 9
9 7 14 4 5 6 13 10 8 11 3 15 12 2 1
11 13 8 15 12 5 2 1 3 10 14 4 6 9 7
3 10 2 15 1 7 4 14 8 6 13 11 9 5 12
1 4 7 15 5 2 10 8 12 3 6 13 11 9 14
1 6 13 15 8 4 3 10 14 5 7 11 9 12 2
4 15 5 13 10 3 11 12 2 8 14 7 9 1 6
1 7 5 10 9 13 2 15 14 4 11 3 8 12 6
12 4 6 15 8 10 13 2 1 14 5 7 9 11 3
3 13 14 15 1 11 10 9 2 6 4 7 5 8 12
5 15 11 13 12 1 3 7 2 8 14 10 4 6 9
8 3 14 15 12 11 7 1 6 5 4 13 10 2 9
7 3 14 13 5 15 8 11 9 4 12 2 1 10 6
5 2 3 4 9 6 15 14 12 13 8 10 11 7 1
6 2 10 7 14 5 8 11 12 13 15 3 4 9 1
9 10 11 15 14 6 13 1 12 4 2 3 8 5 7
9 10 11 15 12 2 7 8 13 4 1 3 5 6 14
12 6 1 15 5 10 13 3 2 4 11 7 14 9 8
5 13 11 15 9 10 2 4 7 3 14 6 1 12 8
8 2 7 13 5 15 3 1 4 14 10 6 9 11 12
9 7 14 4 1 8 10 11 2 3 6 13 15 5 12
3 10 8 4 2 1 6 15 9 14 11 7 13 5 12
8 4 13 15 9 3 7 2 1 5 11 10 6 12 14
7 13 10 15 9 8 11 2 6 5 3 4 12 14 1
6 4 11 15 9 2 3 7 13 1 5 8 14 12 10
5 11 3 10 12 8 1 2 9 13 14 4 15 7 6
12 13 4 15 14 6 7 9 11 3 2 10 8 5 1
9 7 12 13 8 10 15 3 11 6 5 4 14 2 1
9 3 6 15 14 13 2 12 7 10 11 4 8 5 1
8 13 10 15 9 12 6 2 14 11 5 3 7 1 4
2 7 5 13 14 8 4 6 1 10 15 11 3 12 9
9 7 5 15 8 13 6 12 11 4 3 10 2 14 1
3 6 2 15 7 4 11 14 12 10 5 13 8 9 1
1 3 8 15 9 10 11 12 5 6 13 4 7 14 2
8 4 1 13 12 15 6 5 2 10 7 14 11 9 3
9 15 13 6 14 7 5 12 3 11 10 4 2 8 1
6 15 5 13 7 14 11 12 8 3 10 4 1 2 9
14 7 4 15 9 2 6 11 1 3 10 13 8 5 12
9 6 12 15 3 14 13 1 5 11 2 4 7 8 10
12 4 13 10 8 5 3 9 2 6 11 7 1 14 15
9 15 12 10 7 11 13 2 1 6 3 4 14 5 8
8 13 1 4 9 5 3 7 12 10 11 15 6 2 14
9 15 12 4 5 3 2 14 11 7 1 13 10 8 6
9 10 14 15 1 3 4 12 8 6 7 13 2 5 11
9 4 3 13 12 5 1 10 11 15 14 2 7 8 6
12 4 7 15 1 3 11 6 9 8 2 13 5 14 10
1 7 3 15 12 10 6 2 9 11 5 4 14 13 8
9 2 13 15 3 12 8 14 11 10 5 7 4 6 1
